Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Watchers,Watchers Id,Custom field (Actual Result),Custom field (Actual Result)_13,Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result)_14,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint_15,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Data),Custom field (Test Level),Custom field (Test Steps),Custom field (Test steps).1,Custom field (Testcase Result),Custom field (Testcase Result)_16,Custom field (Text Level),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
Balance Enquiry,BN-1,10139,Epic,To Do,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 11:34,12/24/2022 20:37,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,ghx-label-7,,,Balance Enquiry,To Do,,,,purple,,,0|i000ov:i,,,,,,,,,,,,,,,,,,,,,,,To Do
Balance Enquiry,BAN-1,10000,Epic,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 8:24,12/6/2022 8:24,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,purple,,,0|hzzzzz:,,,,,,,,,,,,,,,,,,,,,,,To Do
BE30 - verify Balance Enquiry - Account No must not be blank,BN-20,10158,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:28,12/16/2022 7:25,3/17/2023 15:09,12/16/2022 7:25,,0,BalanceEnquiry,Account No must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-1,Balance Enquiry,,,,báo l?i,,,,,0|i000ry:lzzzzk,,BN Sprint 1,,,,,,,,,,,,"1  ??ng nh?p ?? tr?ng tài kho?n
2. sumit",,Pass,Unit,,,,,,Done
BE30 - verify Balance Enquiry - Account No must not be blank,BAN-29,10028,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:24,12/9/2022 13:14,3/17/2023 15:09,,12/13/2022 0:00,0,BalanceEnquiry,Account No must not be blank,Syo,62980eb8b407cc006900240b,,,,,,,,hi?n th? l?i n?u không nh?p s? tài kho?n,,,,,,0|i0003i:zzzzv,,BAN Sprint 1,,,,,,,,,,,,,Skip,,,,,,10000,Balance Enquiry,To Do
BE31 - verify Balance Enquiry - Special character are not allowed,BN-21,10159,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:31,12/16/2022 7:26,3/17/2023 15:09,12/16/2022 7:26,,0,BalanceEnquiry, Special character are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-1,Balance Enquiry,,,,báo l?i,,,,,0|i000ry:lzzzzq,,BN Sprint 1,,,,,,,,,,,,"1 nh?p tài kho?n v?i ký t? ??t bi?t
2 sumit",,Pass,Unit,,,,,,Done
BE31 - verify Balance Enquiry - Special character are not allowed,BAN-22,10021,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:21,12/9/2022 13:17,3/17/2023 15:09,,12/13/2022 0:00,0,BalanceEnquiry,Special character are not allowed,Syo,62980eb8b407cc006900240b,thành công,,,,,,,hi?n th? l?i ,,,,,,0|i0003i:zzzzx,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10000,Balance Enquiry,To Do
BE32 - verify Balance Enquiry - Characters are not allowed,BN-24,10162,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:33,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,,  Characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-1,Balance Enquiry,,,,báo l?i,,,,,0|i000ry:lzzzzn,,BN Sprint 1,,,,,,,,,,,,"1 nh?p tài kho?n v?i ký t? không ???c phép
2 sumit",,Skip,,,,,,,Done
BE32 - verify Balance Enquiry - Characters are not allowed,BAN-25,10024,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:22,12/9/2022 13:16,3/17/2023 15:09,,12/13/2022 0:00,0,BalanceEnquiry,Characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,hi?n th? l?i khi có các ký t? cho không ???c cho phép,,,,,,0|i0003i:zzzzy,,BAN Sprint 1,,,,,,,,,,Unit,,,Skip,,,,,,10000,Balance Enquiry,To Do
Buy Item,NC-5,10392,Epic,To Do,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,1/3/2023 8:14,3/16/2023 0:12,1/3/2023 10:32,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,ghx-label-7,,,Buy Item,To Do,,,,purple,,,0|i001o7:,,,,,,,,,,,,,,,,,,,,,,,To Do
"C23 - Verify Cart - If the quantity changes, the total amount of the product must change",NC-38,10425,Story,In Progress,NC,N5_CD21CT5,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Trinhkem Chamchi,638e9548fde064eda2f213e0,Trinhkem Chamchi,638e9548fde064eda2f213e0,1/3/2023 10:44,3/15/2023 18:37,1/3/2023 10:51,,,0,Cart,"If the quantity changes, the total amount of the product must change",Trinhkem Chamchi,638e9548fde064eda2f213e0,,Success,,NC-4,Cart,,,,Success,,,,,0|i001un:,,NC Sprint 1,,,,,,,,,,,,"1. Enter Change quantity
2. Update",,Pass,Unit,,,,,,In Progress
